Usuário;Computador;Ordem;Cod. Projeto;Cod. Lote;Cod. Pasta;Projeto;Lote;Pasta;Fase;Fase Destino;Imgs. Antes;Imgs. Depois;Docs. Antes;Docs. Depois;Início;Término;Tempo Gasto;Local;
Duane;DIGITALIZACAO-0;57292;45;2;247;2024;09;AG_DOSSIE_0494;Digitalização (Scanner);;0;589;0;0;10/1/2024 09:25:54;10/1/2024 09:34:46;00:08:52;Local Padrão;
Duane;DESKTOP-M6H69Q6;57296;45;2;247;2024;09;AG_DOSSIE_0494;Digitalização (Scanner);;0;589;0;0;10/1/2024 10:08:44;10/1/2024 10:15:33;00:06:49;Local Padrão;
Duane;DESKTOP-M6H69Q6;57307;45;2;247;2024;09;AG_DOSSIE_0494;Digitalização (Scanner);;0;589;0;0;10/1/2024 13:27:07;10/1/2024 13:29:27;00:02:20;Local Padrão;
Duane;DESKTOP-M6H69Q6;57308;45;2;247;2024;09;AG_DOSSIE_0494;Digitalização (Scanner);;0;589;0;0;10/1/2024 13:29:31;10/1/2024 13:33:02;00:03:31;Local Padrão;
Duane;DESKTOP-M6H69Q6;57309;45;2;247;2024;09;AG_DOSSIE_0494;Digitalização (Scanner);;0;589;0;0;10/1/2024 13:33:15;10/1/2024 13:36:06;00:02:51;Local Padrão;
Duane;DESKTOP-M6H69Q6;57310;45;2;247;2024;09;AG_DOSSIE_0494;Digitalização (Scanner);;0;589;0;0;10/1/2024 13:36:08;10/1/2024 13:38:26;00:02:18;Local Padrão;
Duane;DESKTOP-M6H69Q6;57311;45;2;247;2024;09;AG_DOSSIE_0494;Digitalização (Scanner);;0;589;0;0;10/1/2024 13:38:28;10/1/2024 13:46:05;00:07:37;Local Padrão;
Duane;DESKTOP-M6H69Q6;57312;45;2;247;2024;09;AG_DOSSIE_0494;Digitalização (Scanner);;0;589;0;0;10/1/2024 13:46:07;10/1/2024 14:07:03;00:20:56;Local Padrão;
Duane;DESKTOP-M6H69Q6;57314;45;2;265;2024;09;teste;Digitalização (Scanner);;0;0;0;0;10/1/2024 14:07:15;10/1/2024 14:08:13;00:00:58;Local Padrão;
Duane;DESKTOP-M6H69Q6;57318;45;2;247;2024;09;AG_DOSSIE_0494;Digitalização (Scanner);;0;589;0;0;10/1/2024 14:10:06;10/1/2024 14:12:11;00:02:05;Local Padrão;
Duane;DESKTOP-M6H69Q6;57320;45;2;247;2024;09;AG_DOSSIE_0494;Digitalização (Scanner);;589;607;0;0;10/1/2024 14:15:57;10/1/2024 14:19:30;00:03:33;Local Padrão;
Duane;DESKTOP-M6H69Q6;57324;45;2;268;2024;09;AG_DOSSIE_0636;Digitalização (Scanner);;0;1063;0;0;10/1/2024 14:21:55;10/1/2024 14:53:22;00:31:27;Local Padrão;
Duane;DESKTOP-M6H69Q6;57327;45;2;268;2024;09;AG_DOSSIE_0636;Digitalização (Scanner);;0;1063;0;0;10/1/2024 14:53:25;10/1/2024 15:07:13;00:13:48;Local Padrão;
Duane;DESKTOP-M6H69Q6;57329;45;2;268;2024;09;AG_DOSSIE_0636;Digitalização (Scanner);;0;1063;0;0;10/1/2024 15:07:16;10/1/2024 15:29:42;00:22:26;Local Padrão;
Duane;DESKTOP-M6H69Q6;57332;45;2;268;2024;09;AG_DOSSIE_0636;Digitalização (Scanner);;0;1063;0;0;10/1/2024 15:30:08;10/1/2024 15:31:53;00:01:45;Local Padrão;
Duane;DESKTOP-M6H69Q6;57334;45;2;272;2024;09;teste;Digitalização (Scanner);Digitalização (Scanner);0;0;0;0;10/1/2024 15:45:36;10/1/2024 15:46:27;00:00:51;Local Padrão;
Total; ; ; ; ; ; ; ; ; ; ; ;11927; ;0; ; ;03:19:11; ;
Rillary;SCANNER-1;57210;45;2;246;2024;09;AG_DOSSIE_0511;Digitalização (Scanner);;0;1929;0;0;10/1/2024 07:00:53;10/1/2024 07:25:38;00:24:45;Local Padrão;
Rillary;SCANNER-1;57211;45;2;249;2024;09;AG_DOSSIE_0394;Digitalização (Scanner);;0;1564;0;0;10/1/2024 07:26:55;10/1/2024 07:49:30;00:22:35;Local Padrão;
Rillary;SCANNER-1;57214;45;2;250;2024;09;AG_DOSSIE_0372;Digitalização (Scanner);;0;1695;0;0;10/1/2024 07:50:38;10/1/2024 08:18:59;00:28:21;Local Padrão;
Rillary;SCANNER-1;57258;45;2;251;2024;09;AG_DOSSIE_0383;Digitalização (Scanner);;0;1582;0;0;10/1/2024 08:19:48;10/1/2024 08:43:34;00:23:46;Local Padrão;
Rillary;SCANNER-1;57289;45;2;253;2024;09;AG_DOSSIE_0530;Digitalização (Scanner);;0;1744;0;0;10/1/2024 08:44:53;10/1/2024 09:17:20;00:32:27;Local Padrão;
jordana;ADMIN-1;57290;45;2;247;2024;09;AG_DOSSIE_0494;Digitalização (Scanner);Digitalização (Scanner);0;0;0;0;10/1/2024 09:19:26;10/1/2024 09:19:26;00:00:00;Local Padrão;
Rillary;SCANNER-1;57293;45;2;255;2024;09;AG_DOSSIE_0367;Digitalização (Scanner);;0;1760;0;0;10/1/2024 09:18:22;10/1/2024 09:46:48;00:28:26;Local Padrão;
Rillary;SCANNER-1;57295;45;2;257;2024;09;AG_DOSSIE_0638;Digitalização (Scanner);;0;1711;0;0;10/1/2024 09:55:56;10/1/2024 10:13:30;00:17:34;Local Padrão;
